# type;symbole;taux;dimension;composantes;symboleCompact
simple;m;1;1,0,0,0,0,0,0,0;;
simple;km;1000;1,0,0,0,0,0,0,0;;
simple;cm;0.01;1,0,0,0,0,0,0,0;;
simple;mm;0.001;1,0,0,0,0,0,0,0;;
simple;um;0.000001;1,0,0,0,0,0,0,0;;
simple;nm;0.000000001;1,0,0,0,0,0,0,0;;
simple;in;0.0254;1,0,0,0,0,0,0,0;;
simple;ft;0.3048;1,0,0,0,0,0,0,0;;
simple;yd;0.9144;1,0,0,0,0,0,0,0;;
simple;mi;1609.344;1,0,0,0,0,0,0,0;;
simple;nmi;1852;1,0,0,0,0,0,0,0;;

simple;kg;1;0,1,0,0,0,0,0,0;;
simple;g;0.001;0,1,0,0,0,0,0,0;;
simple;mg;0.000001;0,1,0,0,0,0,0,0;;
simple;t;1000;0,1,0,0,0,0,0,0;;
simple;oz;0.028349523125;0,1,0,0,0,0,0,0;;
simple;lb;0.45359237;0,1,0,0,0,0,0,0;;
simple;ton_us;907.18474;0,1,0,0,0,0,0,0;;

simple;s;1;0,0,1,0,0,0,0,0;;
simple;ms;0.001;0,0,1,0,0,0,0,0;;
simple;min;60;0,0,1,0,0,0,0,0;;
simple;h;3600;0,0,1,0,0,0,0,0;;
simple;d;86400;0,0,1,0,0,0,0,0;;
simple;Hz;1;0,0,-1,0,0,0,0,0;;

simple;A;1;0,0,0,1,0,0,0,0;;
simple;K;1;0,0,0,0,1,0,0,0;;
simple;mol;1;0,0,0,0,0,1,0,0;;
simple;cd;1;0,0,0,0,0,0,1,0;;

simple;m²;1;2,0,0,0,0,0,0,0;;
simple;km²;1000000;2,0,0,0,0,0,0,0;;
simple;cm²;0.0001;2,0,0,0,0,0,0,0;;
simple;mm²;0.000001;2,0,0,0,0,0,0,0;;
simple;ft²;0.09290304;2,0,0,0,0,0,0,0;;
simple;yd²;0.83612736;2,0,0,0,0,0,0,0;;
simple;mi²;2589988.110336;2,0,0,0,0,0,0,0;;
simple;ha;10000;2,0,0,0,0,0,0,0;;
simple;ac;4046.8564224;2,0,0,0,0,0,0,0;;

simple;m³;1;3,0,0,0,0,0,0,0;;
simple;cm³;0.000001;3,0,0,0,0,0,0,0;;
simple;mm³;0.000000001;3,0,0,0,0,0,0,0;;
simple;ft³;0.028316846592;3,0,0,0,0,0,0,0;;
simple;yd³;0.764554857984;3,0,0,0,0,0,0,0;;

simple;L;0.001;3,0,0,0,0,0,0,0;;
simple;mL;0.000001;3,0,0,0,0,0,0,0;;
simple;cL;0.00001;3,0,0,0,0,0,0,0;;
simple;gal;0.003785411784;3,0,0,0,0,0,0,0;;
simple;qt;0.000946352946;3,0,0,0,0,0,0,0;;
simple;pt;0.000473176473;3,0,0,0,0,0,0,0;;
simple;floz;0.0000295735295625;3,0,0,0,0,0,0,0;;

simple;kHz;1000;0,0,-1,0,0,0,0,0;;
simple;MHz;1000000;0,0,-1,0,0,0,0,0;;
simple;GHz;1000000000;0,0,-1,0,0,0,0,0;;

composee;N;;;kg:1|m:1|s:-2;N
composee;lbf;4.4482216152605;;kg:1|m:1|s:-2;

composee;J;;;kg:1|m:2|s:-2;J
composee;kJ;1000;;kg:1|m:2|s:-2;
composee;Wh;3600;;kg:1|m:2|s:-2;
composee;kWh;3600000;;kg:1|m:2|s:-2;
composee;cal;4.184;;kg:1|m:2|s:-2;
composee;kcal;4184;;kg:1|m:2|s:-2;
composee;BTU;1055.05585262;;kg:1|m:2|s:-2;

composee;W;;;kg:1|m:2|s:-3;W
composee;kW;1000;;kg:1|m:2|s:-3;
composee;MW;1000000;;kg:1|m:2|s:-3;
composee;hp;745.699871582;;kg:1|m:2|s:-3;

composee;Pa;;;kg:-1|m:-1|s:-2;Pa
composee;kPa;1000;;kg:-1|m:-1|s:-2;
composee;MPa;1000000;;kg:-1|m:-1|s:-2;
composee;bar;100000;;kg:-1|m:-1|s:-2;
composee;atm;101325;;kg:-1|m:-1|s:-2;
composee;psi;6894.757293168;;kg:-1|m:-1|s:-2;

composee;m/s;;;m:1|s:-1;m/s
composee;km/h;;;km:1|h:-1;km/h
composee;mph;;;mi:1|h:-1;mph
composee;kt;;;nmi:1|h:-1;kt
composee;ft/s;;;ft:1|s:-1;ft/s

composee;m/s²;;;m:1|s:-2;m/s²
composee;ft/s²;;;ft:1|s:-2;ft/s²

composee;L/s;;;L:1|s:-1;L/s
composee;L/min;;;L:1|min:-1;L/min
composee;m³/h;;;m³:1|h:-1;m³/h
composee;gal/min;;;gal:1|min:-1;gpm

composee;kg/m³;;;kg:1|m³:-1;kg/m³
composee;g/cm³;;;g:1|cm³:-1;g/cm³
composee;lb/ft³;;;lb:1|ft³:-1;lb/ft³

composee;L/100km;;;L:1|km:-1;L/100km
composee;mpg;;;mi:1|gal:-1;mpg

simple;EUR;1;0,0,0,0,0,0,0,1;;
simple;USD;0.8547008547;0,0,0,0,0,0,0,1;;
simple;GBP;1.1700000000;0,0,0,0,0,0,0,1;;
simple;CHF;1.0400000000;0,0,0,0,0,0,0,1;;
simple;JPY;0.0061000000;0,0,0,0,0,0,0,1;;
simple;CAD;0.6800000000;0,0,0,0,0,0,0,1;;
simple;AUD;0.6100000000;0,0,0,0,0,0,0,1;;
simple;CNY;0.1200000000;0,0,0,0,0,0,0,1;;
simple;SEK;0.0870000000;0,0,0,0,0,0,0,1;;
simple;NOK;0.0850000000;0,0,0,0,0,0,0,1;;
simple;DKK;0.1340000000;0,0,0,0,0,0,0,1;;
